"teste1";"Demanda";"Area";"Volume";"EficienciaGlobal"
"398";"Agudo";"400";"150";"7000";"83.0382260466656"
"399";"Agudo";"400";"150";"8000";"84.8750620552706"
"400";"Agudo";"400";"150";"9000";"86.7615422803243"
"401";"Agudo";"400";"150";"10000";"88.2177726294887"
"402";"Agudo";"400";"150";"20000";"95.6644050968062"
"403";"Agudo";"400";"150";"30000";"97.8983948370015"
"404";"Agudo";"400";"150";"40000";"98.692702300182"
"405";"Agudo";"400";"150";"50000";"99.0898560317723"
"406";"Agudo";"400";"200";"500";"42.1975839814662"
"407";"Agudo";"400";"200";"1000";"49.5614760880357"
"408";"Agudo";"400";"200";"2000";"60.7314247890121"
"409";"Agudo";"400";"200";"3000";"70.61062386232"
"410";"Agudo";"400";"200";"4000";"75.9887473109383"
"411";"Agudo";"400";"200";"5000";"81.184841965911"
"412";"Agudo";"400";"200";"6000";"84.4448121793811"
"413";"Agudo";"400";"200";"7000";"87.2910805891114"
"414";"Agudo";"400";"200";"8000";"89.4092338242595"
"415";"Agudo";"400";"200";"9000";"91.2957140493133"
"416";"Agudo";"400";"200";"10000";"92.818136687076"
"417";"Agudo";"400";"200";"20000";"98.5603177229853"
"418";"Agudo";"400";"200";"30000";"99.2884328975674"
"419";"Agudo";"400";"200";"40000";"99.2884328975674"
"420";"Agudo";"400";"200";"50000";"99.2884328975674"
"421";"Agudo";"400";"300";"500";"43.2401125268906"
"422";"Agudo";"400";"300";"1000";"51.183187158696"
"423";"Agudo";"400";"300";"2000";"63.2301836836009"
"424";"Agudo";"400";"300";"3000";"74.0029786529869"
"425";"Agudo";"400";"300";"4000";"79.5465828231011"
"426";"Agudo";"400";"300";"5000";"84.9081581995698"
"427";"Agudo";"400";"300";"6000";"88.0688399801423"
"428";"Agudo";"400";"300";"7000";"90.981300678471"
"429";"Agudo";"400";"300";"8000";"93.0663577693199"
"430";"Agudo";"400";"300";"9000";"94.6384246235314"
"431";"Agudo";"400";"300";"10000";"95.7636935297038"
"432";"Agudo";"400";"300";"20000";"99.3215290418666"
"433";"Agudo";"400";"300";"30000";"99.4042694026146"
"434";"Agudo";"400";"300";"40000";"99.4042694026146"
"435";"Agudo";"400";"300";"50000";"99.4042694026146"
"436";"Agudo";"400";"400";"500";"43.5379778255833"
"437";"Agudo";"400";"400";"1000";"51.8285619725302"
