"nº";"Cidade""Demanda";"Area";"Volume";"EficienciaGlobal"
"460";"Aceguá";"400";"500";"9000";"97.4425984692925"
"461";"Aceguá";"400";"500";"10000";"98.207952212059"
"462";"Aceguá";"400";"500";"20000";"100"
"463";"Aceguá";"400";"500";"30000";"100"
"464";"Aceguá";"400";"500";"40000";"100"
"465";"Aceguá";"400";"500";"50000";"100"
"466";"Aceguá";"400";"1000";"500";"42.8038081015494"
"467";"Aceguá";"400";"1000";"1000";"51.6520440545081"
"468";"Aceguá";"400";"1000";"2000";"65.2417397797275"
"469";"Aceguá";"400";"1000";"3000";"78.551428038081"
"470";"Aceguá";"400";"1000";"4000";"84.8235952958746"
"471";"Aceguá";"400";"1000";"5000";"90.83442225126"
"472";"Aceguá";"400";"1000";"6000";"93.5411610976293"
"473";"Aceguá";"400";"1000";"7000";"96.1918984506253"
"474";"Aceguá";"400";"1000";"8000";"97.4985999626657"
"475";"Aceguá";"400";"1000";"9000";"98.6186298301288"
"476";"Aceguá";"400";"1000";"10000";"99.2159790927758"
"477";"Aceguá";"400";"1000";"20000";"100"
"478";"Aceguá";"400";"1000";"30000";"100"
"479";"Aceguá";"400";"1000";"40000";"100"
"480";"Aceguá";"400";"1000";"50000";"100"
"481";"Aceguá";"500";"50";"500";"26.6380436811648"
"482";"Aceguá";"500";"50";"1000";"30.3901437371663"
"483";"Aceguá";"500";"50";"2000";"33.8995706552175"
"484";"Aceguá";"500";"50";"3000";"35.4116109762927"
"485";"Aceguá";"500";"50";"4000";"36.1769647190592"
"486";"Aceguá";"500";"50";"5000";"36.587642337129"
"487";"Aceguá";"500";"50";"6000";"36.8116483106216"
"488";"Aceguá";"500";"50";"7000";"36.9236512973679"
"489";"Aceguá";"500";"50";"8000";"36.9796527907411"
"490";"Aceguá";"500";"50";"9000";"37.0169871196565"
"491";"Aceguá";"500";"50";"10000";"37.054321448572"
